ID,Name,Reference,Year,Kingdom,Genus,Specie,SMILES,DOI,Journal,Site,State,IC50_1,Activity_1,IC50_2,Activity_2,IC50_3,Activity_3,IC50_4,Activity_4,IC50_5,Activity_5,IC50_6,Activity_6,Bioactivity,Bioactivity(2),Bioactivity(3)
FQNP392,Lichexanthone,J_Nat_Prod_2000;63_(10):1396-1399,2000,Fungus,Parmotrema,Parmotrema_tinctorum,O(C)c1cc(O)c2C(=O)c3c(C)cc(OC)cc3Oc2c1,10.1021/np0001326,Journal_of_Natural_Products,Los_Tuxtlas,Veracruz,>0.002,Seeding_Growth_A_hypochondriacus,>0.002,Seeding_Growth_E_crusgalli,>0.002,Seeding_Germination_A_hypochondriacus,>0.002,Seeding_Germination_E_crusgalli,0.0003,Photosynthesis,,,Phytotoxic,, NoBioactivity(3)
FQNP391,Methyl_haematommate,J_Nat_Prod_2000;63_(10):1396-1399,2000,Fungus,Parmotrema,Parmotrema_tinctorum,O=C(OC)c1c(O)c(C=O)c(O)cc1C,10.1021/np0001326,Journal_of_Natural_Products,Los_Tuxtlas,Veracruz,0.00032,Seeding_Growth_A_hypochondriacus,0.00061,Seeding_Growth_E_crusgalli,0.00076,Seeding_Germination_A_hypochondriacus,0.0011,Seeding_Germination_E_crusgalli,0.0003,Photosynthesis,,,Phytotoxic,, NoBioactivity(3)
FQNP393,Methyl_orsellinate,J_Nat_Prod_2000;63_(10):1396-1399,2000,Fungus,Parmotrema,Parmotrema_tinctorum,O=C(OC)c1c(O)cc(O)cc1C,10.1021/np0001326,Journal_of_Natural_Products,Los_Tuxtlas,Veracruz,0.00029,Seeding_Growth_A_hypochondriacus,0.00031,Seeding_Growth_E_crusgalli,0.00036,Seeding_Germination_A_hypochondriacus,0.00068,Seeding_Germination_E_crusgalli,0.0003,Photosynthesis,8.1E-06,CaM_Dependent_PDE,Phytotoxic,, NoBioactivity(3)
FQNP390,Gyrophoric_acid,J_Nat_Prod_2000;63_(10):1396-1399,2000,Fungus,Parmotrema,Parmotrema_tinctorum,O=C(Oc1cc(O)c(C(=O)O)c(C)c1)c1c(O)cc(OC(=O)c2c(O)cc(O)cc2C)cc1C,10.1021/np0001326,Journal_of_Natural_Products,Los_Tuxtlas,Veracruz,0.002,Seeding_Growth_A_hypochondriacus,0.002,Seeding_Growth_E_crusgalli,0.002,Seeding_Germination_A_hypochondriacus,0.002,Seeding_Germination_E_crusgalli,8.71E-05,Photosynthesis,5.97E-05,Proton_Uptake,Phytotoxic,, NoBioactivity(3)
FQNP389,Lecanorin,J_Nat_Prod_2000;63_(10):1396-1399,2000,Fungus,Parmotrema,Parmotrema_tinctorum,O=C(Oc1cc(O)cc(C)c1)c1c(O)cc(O)cc1C,10.1021/np0001326,Journal_of_Natural_Products,Los_Tuxtlas,Veracruz,0.00058,Seeding_Growth_A_hypochondriacus,0.00018,Seeding_Growth_E_crusgalli,0.00076,Seeding_Germination_A_hypochondriacus,0.00071,Seeding_Germination_E_crusgalli,0.000136,Photosynthesis,0.00014,Proton_Uptake,Phytotoxic,, NoBioactivity(3)
FQNP394,Orcinol,J_Nat_Prod_2000;63_(10):1396-1399,2000,Fungus,Parmotrema,Parmotrema_tinctorum,Oc1cc(O)cc(C)c1,10.1021/np0001326,Journal_of_Natural_Products,Los_Tuxtlas,Veracruz,0.001,Seeding_Growth_A_hypochondriacus,0.0011,Seeding_Growth_E_crusgalli,0.0017,Seeding_Germination_A_hypochondriacus,>0.0081,Seeding_Germination_E_crusgalli,,,,,Phytotoxic,, NoBioactivity(3)
FQNP340,5-hydroxy-6_8-dimethoxy-2_3-dimethyl-4H-naphtho[2_3-b]-pyran-4-one,J_Nat_Prod_2000;63_(6):757-761,2000,Fungus,Guanomyces,Guanomyces_polythrix,O(C)c1c2c(c(O)c3C(=O)C(C)=C(C)Oc13)c(OC)cc(OC)c2,10.1021/np990534h,Journal_of_Natural_Products,Tepoztlan,Morelos,8E-05,Seeding_Growth_A_hypochondriacus,0.00017,Seeding_Growth_E_crusgalli,,,,,,,,,Phytotoxic,, NoBioactivity(3)
FQNP341,Rubrofusarin_B,J_Nat_Prod_2000;63_(6):757-761,2000,Fungus,Guanomyces,Guanomyces_polythrix,O(C)c1c2c(c(O)c3C(=O)C=C(C)Oc13)c(OC)cc(OC)c2,10.1021/np990534h,Journal_of_Natural_Products,Tepoztlan,Morelos,1.3E-05,Seeding_Growth_A_hypochondriacus,8.7E-05,Seeding_Growth_E_crusgalli,,,,,,,,,Phytotoxic,, NoBioactivity(3)
FQNP343,Citrinin,J_Nat_Prod_2000;63_(6):757-761,2000,Fungus,Guanomyces,Guanomyces_polythrix,O=C(O)C=1C(=O)C(C)=C2[C@H](C)[C@@H](C)OC=C2C=1O,10.1021/np990534h,Journal_of_Natural_Products,Tepoztlan,Morelos,5.5E-05,Seeding_Growth_A_hypochondriacus,6.3E-05,Seeding_Growth_E_crusgalli,,,,,,,,,Phytotoxic,, NoBioactivity(3)
FQNP344,4-hydroxybenzoic_acid_methyl_ester,J_Nat_Prod_2000;63_(6):757-761,2000,Fungus,Guanomyces,Guanomyces_polythrix,O=C(OC)c1ccc(O)cc1,10.1021/np990534h,Journal_of_Natural_Products,Tepoztlan,Morelos,2.3E-05,Seeding_Growth_A_hypochondriacus,0.00063,Seeding_Growth_E_crusgalli,,,,,,,,,Phytotoxic,, NoBioactivity(3)
FQNP342,Emodin,J_Nat_Prod_2000;63_(6):757-761,2000,Fungus,Guanomyces,Guanomyces_polythrix,O=C1c2c(O)cc(O)cc2C(=O)c2c1c(O)cc(C)c2,10.1021/np990534h,Journal_of_Natural_Products,Tepoztlan,Morelos,0.00013,Seeding_Growth_A_hypochondriacus,2E-05,Seeding_Growth_E_crusgalli,,,,,,,,,Phytotoxic,, NoBioactivity(3)
FQNP384,4-(1'_5'-dimethylhex-4'-enyl)-2-methylphenol,J_Nat_Prod_2001;64_(7):911-914,2001,Plant,Iostephane,Iostephane_heterophylla,Oc1c(C)cc([C@@H](CC/C=C(\C)/C)C)cc1,10.1021/np010076o,Journal_of_Natural_Products,San_Luis_Potosi,San_Luis_Potosi,,,,,,,,,,,,,Antimicrobial,, NoBioactivity(3)
FQNP349,Cyclolaudenyl_Acetate,J_Nat_Prod_2001;64_(7):953-955,2001,Plant,Tillandsia,Tillandsia_fasciculata,O=C(O[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1)C,10.1021/np0100744,Journal_of_Natural_Products,Quintana_Roo,El_Eden,,,,,,,,,,,,,,, NoBioactivity(3)
FQNP347,Cyclolaudenone,J_Nat_Prod_2001;64_(7):953-955,2001,Plant,Tillandsia,Tillandsia_fasciculata,O=C1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1,10.1021/np0100744,Journal_of_Natural_Products,Quintana_Roo,El_Eden,,,,,,,,,,,,,,, NoBioactivity(3)
FQNP345,Tillandsinone,J_Nat_Prod_2001;64_(7):953-955,2001,Plant,Tillandsia,Tillandsia_fasciculata,O=C1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@H](C(=C)C)C(C)C)C)CC5)CC4)CC2)C3)CC1,10.1021/np0100744,Journal_of_Natural_Products,Quintana_Roo,El_Eden,,,,,,,,,,,,,,, NoBioactivity(3)
FQNP346,Cyclolaudenyl_formate,J_Nat_Prod_2001;64_(7):953-955,2001,Plant,Tillandsia,Tillandsia_fasciculata,O=CO[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1,10.1021/np0100744,Journal_of_Natural_Products,Quintana_Roo,El_Eden,,,,,,,,,,,,,,, NoBioactivity(3)
FQNP348,Cyclolaudenol,J_Nat_Prod_2001;64_(7):953-955,2001,Plant,Tillandsia,Tillandsia_fasciculata,O[C@@H]1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1,10.1021/np0100744,Journal_of_Natural_Products,Quintana_Roo,El_Eden,,,,,,,,,,,,,,, NoBioactivity(3)
FQNP291,1-O-[12-O-(12S)-dihydro-12_13-dihydroxy-xanthorrizol]-b-L-arabinopyranosyl-(1->2)-b-D-Dglucopyranoside,Nat_Prod_Lett_2001;15(2):93-101,2001,Plant,Iostephane,Iostephane_heterophylla,O([C@@H](C(O)(C)C)C[C@H](C(C)c1cc(O)c(C)cc1)C)[C@H]1[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O)CO2)[C@@H](O)[C@H](O)[C@@H](CO)O1,10.1080/10575630108041265,Natural_Products_Letters,Ciudad_de_Mexico,Mercado_de_Sonora,,,,,,,,,,,,,Antimicrobial,Cytotoxic, NoBioactivity(3)
FQNP287,Trhachylobanoic_acid,Nat_Prod_Lett_2001;15(2):93-101,2001,Plant,Iostephane,Iostephane_heterophylla,O=C(O)[C@@]1(C)[C@@H]2[C@](C)([C@H]3[C@@]4(C[C@]5(C)[C@@H]([C@H]5C4)C3)CC2)CCC1,10.1080/10575630108041265,Natural_Products_Letters,Ciudad_de_Mexico,Mercado_de_Sonora,,,,,,,,,,,,,Antimicrobial,, NoBioactivity(3)
FQNP290,12_13-dihydro-12_13-dihydroxy-xanthorrizol,Nat_Prod_Lett_2001;15(2):93-101,2001,Plant,Iostephane,Iostephane_heterophylla,OC(C(O)CC[C@@H](C)c1cc(O)c(C)cc1)(C)C,10.1080/10575630108041265,Natural_Products_Letters,Ciudad_de_Mexico,Mercado_de_Sonora,,,,,,,,,,,,,Antimicrobial,Cytotoxic, NoBioactivity(3)
FQNP288,Xanthorrhizol,Nat_Prod_Lett_2001;15(2):93-101,2001,Plant,Iostephane,Iostephane_heterophylla,Oc1c(C)ccc([C@@H](CC/C=C(\C)/C)C)c1,10.1080/10575630108041265,Natural_Products_Letters,Ciudad_de_Mexico,Mercado_de_Sonora,,,,,,,,,,,,,Antimicrobial,, NoBioactivity(3)
FQNP289,12_13-epoxy-xanthorrhizol,Nat_Prod_Lett_2001;15(2):93-101,2001,Plant,Iostephane,Iostephane_heterophylla,Oc1c(C)ccc([C@@H](CCC2C(C)(C)O2)C)c1,10.1080/10575630108041265,Natural_Products_Letters,Ciudad_de_Mexico,Mercado_de_Sonora,,,,,,,,,,,,,Antimicrobial,, NoBioactivity(3)
FQNP418,p-hydroxybenzoic_acid,Phytochemistry_2001;58:751-758,2001,Fungus,Guanomyces,Guanomyces_polythrix,O=C(O)Cc1ccc(O)cc1,10.1016/S0031-9422(01)00278-3,Phytochemistry,Morelos,Tepozotlan,1.7E-05,Phytogrowth_inhibition_of_Amaranthus_hypochondriacus,0.00023,Phytogrowth_inhibition_of_Echinochloa_crusgalli,,,,,,,,,Phytotoxic,, NoBioactivity(3)
FQNP424,4-hydroxy-benzoic_acid_methyl_ester,Phytochemistry_2001;58:751-758,2001,Fungus,Guanomyces,Guanomyces_polythrix,O=C(OC)Cc1ccc(O)cc1,10.1016/S0031-9422(01)00278-3,Phytochemistry,Morelos,Tepozotlan,,,,,,,,,,,,,,, NoBioactivity(3)
FQNP419,8-hydroxy-6-methyl-9-oxo-9H-xanthene-1-carboxylic_acid_methyl_ester,Phytochemistry_2001;58:751-758,2001,Fungus,Guanomyces,Guanomyces_polythrix,O=C(OC)c1c2C(=O)c3c(O)cc(C)cc3Oc2ccc1,10.1016/S0031-9422(01)00278-3,Phytochemistry,Morelos,Tepozotlan,1.5E-05,Phytogrowth_inhibition_of_Amaranthus_hypochondriacus,9.8E-06,Phytogrowth_inhibition_of_Echinochloa_crusgalli,,,,,,,,,Phytotoxic,, NoBioactivity(3)
