,"ID Database","Name","SMILES","HBA","HBD","RB","LogP","TPSA","MW","Heavy Atom","Ring Count","Fraction CSP3","subLibrary","Library"
0,"AfroDb.564","NPR_00036","CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1O[C@@H]1CC2=CC[C@H]([C@@H](C[C@@H](C3)[C@H](C)CC[C@@H](CC)C(C)C)[C@]3(C)CC3)[C@@H]3[C@@]2(C)CC1)=O",7,3,51,22.4139,105.45,1194.003,85,85,85,"AFRODB","AFRODB"
1,"AfroDb.71","ABD_UD_004","C[C@H](CCC(O[C@H](C[C@@H]([C@@H]1CC2)[C@H]3[C@H]2[C@@](C)(CC[C@@H](C2)O[C@@H]([C@@H]([C@H]4O)O[C@@H]([C@H](C)[C@H]([C@@H]5O)O)O[C@H]5O)O[C@H](CO)[C@H]4O[C@@H]([C@@H]([C@H]4O)O)O[C@H](C)[C@H]4O[C@H]([C@H]([C@H]4O)O)O[C@@H](C)[C@@H]4O)C2=CC3)[C@@H]1C(C)=O)=O)CO[C@@H]([C@@H]([C@H]1O)O)O[C@H](CO)[C@@H]1O",27,14,18,-3.53559999999998,418.89,1195.309,83,83,83,"AFRODB","AFRODB"
2,"AfroDb.70","ABD_UD_003","C[C@H](CC[C@@]([C@H]1C)(OC)O[C@H](C2)[C@H]1[C@@H](CC1)[C@H]2[C@H]2[C@H]1[C@@](C)(CC[C@@H](C1)O[C@@H]([C@@H]([C@H]3O)O[C@@H]([C@H](C)[C@H]([C@@H]4O)O)O[C@H]4O)O[C@H](CO)[C@H]3O[C@@H]([C@@H]([C@H]3O)O)O[C@H](C)[C@H]3O[C@H]([C@H]([C@H]3O)O)O[C@@H](C)[C@@H]3O)C1=CC2)CO[C@@H]([C@@H]([C@H]1O)O)O[C@H](CO)[C@@H]1O",26,14,17,-2.65879999999999,393.98,1195.353,83,83,83,"AFRODB","AFRODB"
3,"AfroDb.937","WA_0086","COc(cc(/C=C/C(OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(OC[C@@H](COCC(O)=O)OCC(O)=O)=O)=O)cc1)c1OCC(O)=O",11,3,61,16.9936,201.42,1117.597,79,79,79,"AFRODB","AFRODB"
4,"AfroDb.936","WA_0085","COc(cc(/C=C/C(OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(OC[C@@H](CO)O)=O)=O)cc1)c1O",8,3,52,17.018,122.52,943.489,67,67,67,"AFRODB","AFRODB"
5,"AfroDb.1003","NPR_00029","CC[C@@H](C)[C@H](C[C@@H]1N(C)CC[C@@]1([C@H]12)c(cccc3)c3N1/C=C1/C(C3)=CCN[C@H]3[C@@]3(CC(C(N([C@H]4[C@@]5(CC6)[C@H]7N6C6)c8c5cccc8)=O)=C[C@@H]4[C@@H](C)[C@@H]7/C6=C\C)[C@H]11)/C2=C\N1c1c3cccc1",6,1,4,8.99260000000001,45.3,861.191,65,65,65,"AFRODB","AFRODB"
6,"AfroDb.681","SA_0072","O[C@@H]1[C@@H](c(cc2)cc(O)c2O)Oc2c([C@@H]([C@@H]3O)c(ccc(O)c4)c4O[C@@H]3c(cc3O)cc(O)c3O)cc([C@@H]([C@@H]3O)c(ccc(O)c4)c4O[C@H]3c(cc3O)cc(O)c3O)c(O)c2C1",17,14,5,4.73830000000001,310.91,850.782,62,62,62,"AFRODB","AFRODB"
7,"AfroDb.579","NPR_00052","CC(C)=CCC/C(/C)=C/Cc(c(O)c(c([C@@H]([C@@H](c1c2c(O)cc(C)c1)c(cc(cc1O)OC/C=C(\C)/CCC=C(C)C)c1C2=O)c1cc(C)cc(O)c11)c2)C1=O)c2O",8,5,12,11.19094,144.52,782.974,58,58,58,"AFRODB","AFRODB"
8,"AfroDb.580","NPR_00058","CC(C)=CCC/C(/C)=C/Cc(c(O)cc([C@@H]([C@@H](c1cc(C)cc(O)c11)c2cc(O)c(C/C=C(\C)/CCC=C(C)C)c(O)c2C1=O)c1c2c(O)cc(C)c1)c1C2=O)c1O",8,6,11,11.06024,155.52,782.974,58,58,58,"AFRODB","AFRODB"
9,"AfroDb.116","AN_UY_028_1","CCCCCCCCCCCCCCCCCCCCCCCC[C@H](CO)Oc(cc1)ccc1C1=COc(c(C[C@H](C(C)=C)O)c(c(CC=C(C)C)c2O)O)c2C1=O",7,4,32,13.5913,120.36,803.178,58,58,58,"AFRODB","AFRODB"
10,"AfroDb.593","NPR_0007","C[C@H](C1)N[C@@H](C)c(cc2O)c1c(-c(cc1-c(cc(C([C@@H](C[C@@H](C)N(C)[C@@H]3C)[C@H]3C(O)=C3)=C3O)c3cc(C)cc(OC)c33)c3O)c(cc(C)cc3OC)c3c1O)c2O",10,7,5,9.44814,155.11,772.939,57,57,57,"AFRODB","AFRODB"
11,"AfroDb.6","17.3.1.17.20","C[C@H](C1)N[C@H](C)c(c(O)c2)c1c(-c(c1cc(C)cc(OC)c11)cc(-c(cc(c3cc(C)cc(OC)c33)-c(c(O)cc4c5C(C)=N[C@@H](C)C4)c5OC)c3O)c1O)c2O",10,6,6,9.51343999999999,153.23,768.907,57,57,57,"AFRODB","AFRODB"
12,"AfroDb.935","WA_0084","COc(cc(/C=C/C(OCCCCCCCCCCCCCCCCCCCCCCCC(OC[C@H](COCC(O)=O)OCC(O)=O)=O)=O)cc1)c1OCC(O)=O",11,3,39,8.41140000000001,201.42,809.003000000001,57,57,57,"AFRODB","AFRODB"
13,"AfroDb.1004","NPR_0003","C[C@H](C[C@H]1C)Cc2c1c(O)cc(O)c2-c(c1cc(C)cc(OC)c11)cc(-c2cc(-c(c(C[C@H](C)N[C@@H]3C)c3c(O)c3)c3O)c(cc(C)cc3OC)c3c2O)c1O",9,7,5,10.14264,151.87,755.908,56,56,56,"AFRODB","AFRODB"
14,"AfroDb.582","NPR_0006","C[C@H](C[C@H]12)N[C@H](C)[C@@H]2C(O)=CC(O)=C1c(c1cc(C)cc(OC)c11)cc(-c2cc(-c(c(C[C@@H](C)N[C@@H]3C)c3cc3O)c3O)c(cc(C)cc3OC)c3c2O)c1O",10,8,5,9.10594,163.9,758.912,56,56,56,"AFRODB","AFRODB"
15,"AfroDb.600","NPR_0008","C[C@H](C[C@H]12)N[C@H](C)[C@@H]2C(O)=CC(O)=C1c(c1cc(C)cc(OC)c11)cc(-c2cc(-c(c3c(cc4O)C(C)=N[C@H](C)C3)c4O)c(cc(C)cc3OC)c3c2O)c1O",10,7,5,9.26434,164.23,756.896,56,56,56,"AFRODB","AFRODB"
16,"AfroDb.576","NPR_0005","C[C@H](C1)N[C@H](C)c(cc2O)c1c(-c(cc1-c(cc(c3cc(C)cc(OC)c33)-c(c(C[C@@H](C)N[C@@H]4C)c4c(O)c4)c4O)c3O)c(cc(C)cc3OC)c3c1O)c2O",10,8,5,9.05204,163.9,756.896,56,56,56,"AFRODB","AFRODB"
17,"AfroDb.162","BMC_0003","COc(cc(CCOCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(/C=C/c(cc1)cc(OC)c1O)=O)cc1)c1O",7,2,38,13.8535,94.45,781.172000000001,56,56,56,"AFRODB","AFRODB"
